iter	Logloss
0	0.6615301514
1	0.6337691752
2	0.6093064372
3	0.5866496785
4	0.5663988241
5	0.5507067871
6	0.5365720622
7	0.5229516093
8	0.5110553487
9	0.5038512166
10	0.4953445435
11	0.488207194
12	0.4824301147
13	0.477449646
14	0.4712149556
15	0.4656877645
16	0.4610080973
17	0.4573569743
18	0.4533235677
19	0.4502290853
20	0.4477042643
21	0.445704244
22	0.4430956014
23	0.4402725728
24	0.4383309428
25	0.4367613729
26	0.4344703166
27	0.4327555847
28	0.4312427266
29	0.4301954142
30	0.4282383219
31	0.4271165975
32	0.426206309
33	0.4247355398
34	0.423642451
35	0.4220962779
36	0.4207837423
37	0.4197566223
38	0.4184307861
39	0.4162536621
40	0.4151039124
41	0.4142024485
42	0.4135727692
43	0.4130520884
44	0.4124822235
45	0.4116666158
46	0.4112668864
47	0.4102269999
48	0.4097161357
49	0.4090767924
50	0.4083493805
51	0.4080199687
52	0.4073245239
53	0.406780599
54	0.4060273997
55	0.4050600688
56	0.4046721903
57	0.4036860402
58	0.4032294464
59	0.4021422831
60	0.4015585327
61	0.4007388814
62	0.399538269
63	0.398701884
64	0.3982041168
65	0.397693456
66	0.3969918315
67	0.395625941
68	0.3952478536
69	0.3944911702
70	0.3938065847
71	0.3931539917
72	0.3926480103
73	0.3922994741
74	0.3909477997
75	0.3902741496
76	0.3898959859
77	0.3893591563
78	0.388536733
79	0.3878430176
80	0.3877465312
81	0.3874428813
82	0.3868037415
83	0.3865138753
84	0.3854182434
85	0.3850010173
86	0.3845396932
87	0.3839141591
88	0.3832173665
89	0.3827296448
90	0.3824570719
91	0.3823271179
92	0.3819651794
93	0.3813698324
94	0.3807077789
95	0.3805431112
96	0.3801251221
97	0.3798432922
98	0.3793099213
99	0.3787788391
