iter	Logloss
0	0.6090021769
1	0.5351675415
2	0.4741127523
3	0.4189729309
4	0.3753404236
5	0.3362502543
6	0.3035940043
7	0.271682841
8	0.2454777781
9	0.2230521647
10	0.2010309347
11	0.1832885488
12	0.165252978
13	0.1512615585
14	0.1374816386
15	0.1260162354
16	0.1161608887
17	0.1067569478
18	0.09814178467
19	0.0895860672
20	0.08091247559
21	0.07460993449
22	0.06795795441
23	0.06170176188
24	0.05588527679
25	0.05197422663
26	0.04828314463
27	0.04457952181
28	0.04156576475
29	0.03894075076
30	0.03672954241
31	0.0338358434
32	0.03143280983
33	0.02937692006
34	0.02694523176
35	0.02562045415
36	0.0244343249
37	0.02318935712
38	0.02204701742
39	0.02100414117
40	0.02031466961
41	0.01970656872
42	0.01885601044
43	0.01751934052
44	0.01684941769
45	0.01622969627
46	0.01537518501
47	0.01467677434
48	0.01425616105
49	0.01374832789
50	0.01318716685
51	0.01262914181
52	0.01229697386
53	0.01174594084
54	0.01132264932
55	0.01078203917
56	0.01037040234
57	0.01011722088
58	0.0098944362
59	0.009538655281
60	0.009263930321
61	0.008976842562
62	0.00874552091
63	0.008517351151
64	0.007963740826
65	0.007755818367
66	0.007589112918
67	0.007398209572
68	0.00724451383
69	0.00701029857
70	0.006853222052
71	0.006702343623
72	0.006483281056
73	0.006344225407
74	0.006217805545
75	0.006078162591
76	0.005930151145
77	0.005802987417
78	0.005650997957
79	0.005521004597
80	0.005386321545
81	0.005271646579
82	0.005129267772
83	0.005048993031
84	0.004936014811
85	0.004844949245
86	0.00472302556
87	0.00462719361
88	0.004558015664
89	0.004480558634
90	0.004418652058
91	0.004343146483
92	0.004263437589
93	0.004193554719
94	0.004112626314
95	0.004054433107
96	0.004007378419
97	0.003925475677
98	0.003882699013
99	0.003826665084
